1,0.22,0.62,0.07,0.04,0
2,0.17,0.42,0.07,0.04,0
3,0.11,0.50,0.05,0.04,0
4,0.08,0.46,0.08,0.04,0
5,0.19,0.67,0.07,0.04,0
6,0.31,0.79,0.12,0.13,0
7,0.08,0.58,0.07,0.08,0
8,0.19,0.58,0.08,0.04,0
9,0.03,0.37,0.07,0.04,0
10,0.17,0.46,0.08,0.00,0
11,0.31,0.71,0.08,0.04,0
12,0.14,0.58,0.10,0.04,0
13,0.14,0.42,0.07,0.00,0
14,0.00,0.42,0.02,0.00,0
15,0.42,0.83,0.03,0.04,0
16,0.39,1.00,0.08,0.13,0
17,0.31,0.79,0.05,0.13,0
18,0.22,0.62,0.07,0.08,0
19,0.39,0.75,0.12,0.08,0
20,0.22,0.75,0.08,0.08,0
21,0.31,0.58,0.12,0.04,0
22,0.22,0.71,0.08,0.13,0
23,0.08,0.67,0.00,0.04,0
24,0.22,0.54,0.12,0.17,0
25,0.14,0.58,0.15,0.04,0
26,0.19,0.42,0.10,0.04,0
27,0.19,0.58,0.10,0.13,0
28,0.25,0.62,0.08,0.04,0
29,0.25,0.58,0.07,0.04,0
30,0.11,0.50,0.10,0.04,0
31,0.14,0.46,0.10,0.04,0
32,0.31,0.58,0.08,0.13,0
33,0.25,0.87,0.08,0.00,0
34,0.33,0.92,0.07,0.04,0
35,0.17,0.46,0.08,0.00,0
36,0.19,0.50,0.03,0.04,0
37,0.33,0.62,0.05,0.04,0
38,0.17,0.46,0.08,0.00,0
39,0.03,0.42,0.05,0.04,0
40,0.22,0.58,0.08,0.04,0
41,0.19,0.62,0.05,0.08,0
42,0.06,0.12,0.05,0.08,0
43,0.03,0.50,0.05,0.04,0
44,0.19,0.62,0.10,0.21,0
45,0.22,0.75,0.15,0.13,0
46,0.14,0.42,0.07,0.08,0
47,0.22,0.75,0.10,0.04,0
48,0.08,0.50,0.07,0.04,0
49,0.28,0.71,0.08,0.04,0
50,0.19,0.54,0.07,0.04,0
51,0.75,0.50,0.63,0.54,1
52,0.58,0.50,0.59,0.58,1
53,0.72,0.46,0.66,0.58,1
54,0.33,0.12,0.51,0.50,1
55,0.61,0.33,0.61,0.58,1
56,0.39,0.33,0.59,0.50,1
57,0.56,0.54,0.63,0.62,1
58,0.17,0.17,0.39,0.38,1
59,0.64,0.37,0.61,0.50,1
60,0.25,0.29,0.49,0.54,1
61,0.19,0.00,0.42,0.38,1
62,0.44,0.42,0.54,0.58,1
63,0.47,0.08,0.51,0.38,1
64,0.50,0.37,0.63,0.54,1
65,0.36,0.37,0.44,0.50,1
66,0.67,0.46,0.58,0.54,1
67,0.36,0.42,0.59,0.58,1
68,0.42,0.29,0.53,0.38,1
69,0.53,0.08,0.59,0.58,1
70,0.36,0.21,0.49,0.42,1
71,0.44,0.50,0.64,0.71,1
72,0.50,0.33,0.51,0.50,1
73,0.56,0.21,0.66,0.58,1
74,0.50,0.33,0.63,0.46,1
75,0.58,0.37,0.56,0.50,1
76,0.64,0.42,0.58,0.54,1
77,0.69,0.33,0.64,0.54,1
78,0.67,0.42,0.68,0.67,1
79,0.47,0.37,0.59,0.58,1
80,0.39,0.25,0.42,0.38,1
81,0.33,0.17,0.47,0.42,1
82,0.33,0.17,0.46,0.38,1
83,0.42,0.29,0.49,0.46,1
84,0.47,0.29,0.69,0.62,1
85,0.31,0.42,0.59,0.58,1
86,0.47,0.58,0.59,0.62,1
87,0.67,0.46,0.63,0.58,1
88,0.56,0.12,0.58,0.50,1
89,0.36,0.42,0.53,0.50,1
90,0.33,0.21,0.51,0.50,1
91,0.33,0.25,0.58,0.46,1
92,0.50,0.42,0.61,0.54,1
93,0.42,0.25,0.51,0.46,1
94,0.19,0.12,0.39,0.38,1
95,0.36,0.29,0.54,0.50,1
96,0.39,0.42,0.54,0.46,1
97,0.39,0.37,0.54,0.50,1
98,0.53,0.37,0.56,0.50,1
99,0.22,0.21,0.34,0.42,1
100,0.39,0.33,0.53,0.50,1
101,0.56,0.54,0.85,1.00,2
102,0.42,0.29,0.69,0.75,2
103,0.78,0.42,0.83,0.83,2
104,0.56,0.37,0.78,0.71,2
105,0.61,0.42,0.81,0.88,2
106,0.92,0.42,0.95,0.83,2
107,0.17,0.21,0.59,0.67,2
108,0.83,0.37,0.90,0.71,2
109,0.67,0.21,0.81,0.71,2
110,0.81,0.67,0.86,1.00,2
111,0.61,0.50,0.69,0.79,2
112,0.58,0.29,0.73,0.75,2
113,0.69,0.42,0.76,0.83,2
114,0.39,0.21,0.68,0.79,2
115,0.42,0.33,0.69,0.96,2
116,0.58,0.50,0.73,0.92,2
117,0.61,0.42,0.76,0.71,2
118,0.94,0.75,0.97,0.88,2
119,0.94,0.25,1.00,0.92,2
120,0.47,0.08,0.68,0.58,2
121,0.72,0.50,0.80,0.92,2
122,0.36,0.33,0.66,0.79,2
123,0.94,0.33,0.97,0.79,2
124,0.56,0.29,0.66,0.71,2
125,0.67,0.54,0.80,0.83,2
126,0.81,0.50,0.85,0.71,2
127,0.53,0.33,0.64,0.71,2
128,0.50,0.42,0.66,0.71,2
129,0.58,0.33,0.78,0.83,2
130,0.81,0.42,0.81,0.62,2
131,0.86,0.33,0.86,0.75,2
132,1.00,0.75,0.92,0.79,2
133,0.58,0.33,0.78,0.88,2
134,0.56,0.33,0.69,0.58,2
135,0.50,0.25,0.78,0.54,2
136,0.94,0.42,0.86,0.92,2
137,0.56,0.58,0.78,0.96,2
138,0.58,0.46,0.76,0.71,2
139,0.47,0.42,0.64,0.71,2
140,0.72,0.46,0.75,0.83,2
141,0.67,0.46,0.78,0.96,2
142,0.72,0.46,0.69,0.92,2
143,0.42,0.29,0.69,0.75,2
144,0.69,0.50,0.83,0.92,2
145,0.67,0.54,0.80,1.00,2
146,0.67,0.42,0.71,0.92,2
147,0.56,0.21,0.68,0.75,2
148,0.61,0.42,0.71,0.79,2
149,0.53,0.58,0.75,0.92,2
150,0.44,0.42,0.69,0.71,2
